N,method,price,rel_error,time
100.0,MC,10.707210416030511,0.024556221389202038,0.000247955322265625
100.0,QMC,10.408861659662824,0.003992304566970262,0.009677886962890625
500.0,MC,9.996668590999349,0.04343441474352874,3.0994415283203125e-05
500.0,QMC,10.428690708890937,0.002094893853860594,0.0002880096435546875
1000.0,MC,10.323228000452236,0.0121864555078329,3.886222839355469e-05
1000.0,QMC,10.427226255625145,0.0022350250968362633,0.00022101402282714844
5000.0,MC,10.311204321348784,0.013336982559303314,0.0001380443572998047
5000.0,QMC,10.455662185040186,0.0004859645224155941,0.0003218650817871094
10000.0,MC,10.344240301913178,0.010175821238865672,0.0002582073211669922
10000.0,QMC,10.450584313995558,7.098263822914525e-08,0.00042700767517089844
20000.0,MC,10.432800963173856,0.0017015900489076796,0.0004961490631103516
20000.0,QMC,10.451022716238795,4.2021007745314626e-05,0.0007390975952148438
50.0,explicit,10.934377501358938,0.04629348455343684,0.0001468658447265625
100.0,explicit,10.330959151921846,0.011446673713236613,0.00012993812561035156
200.0,explicit,10.41733353502704,0.0031816440612005316,0.0006530284881591797
400.0,explicit,10.4581852605113,0.0007273936688059518,0.0037260055541992188
600.0,explicit,10.443125296642783,0.0007136707238657534,0.013873100280761719
50.0,implicit,10.779204339718301,0.03144520736692327,0.0011403560638427734
100.0,implicit,10.438655085730971,0.001141418215757933,0.005288362503051758
200.0,implicit,10.458764533355927,0.0007828233814747013,0.03510713577270508
400.0,implicit,10.453324155963676,0.0002622421761599505,0.3416252136230469
600.0,implicit,10.449265076537714,0.0001261647867550994,1.6254351139068604
50.0,CN,10.797138487135632,0.03316129788889779,0.0012569427490234375
100.0,CN,10.449197247101452,0.0001326552794431843,0.007096052169799805
200.0,CN,10.463989642968492,0.0012828059495747484,0.05058598518371582
400.0,CN,10.455943089176522,0.0005128437999597944,0.3749969005584717
600.0,CN,10.45101404511058,4.119128104596016e-05,1.9098069667816162
,ML surrogate,10.417351722717285,0.003179903709561898,7.934085130691528
