S0,K,T,r,sigma,price
75,135,0.1,0.05,0.2,-0.036883418
75,140,0.1,0.05,0.2,-0.0603419
75,145,0.1,0.05,0.2,-0.083800375
75,150,0.1,0.05,0.2,-0.10726076
80,50,0.1,0.05,0.2,29.630085
80,55,0.1,0.05,0.2,24.800137
80,60,0.1,0.05,0.2,19.957407
80,65,0.1,0.05,0.2,15.112536
80,70,0.1,0.05,0.2,10.211829
80,75,0.1,0.05,0.2,5.4363184
80,80,0.1,0.05,0.2,2.0908403
80,85,0.1,0.05,0.2,0.5584535
80,90,0.1,0.05,0.2,0.053498205
80,95,0.1,0.05,0.2,-0.011357371
80,100,0.1,0.05,0.2,-0.029147211
80,105,0.1,0.05,0.2,-0.031819407
80,110,0.1,0.05,0.2,-0.03787524
80,115,0.1,0.05,0.2,-0.053381983
80,120,0.1,0.05,0.2,-0.044570033
80,125,0.1,0.05,0.2,-0.035128657
80,130,0.1,0.05,0.2,-0.02573878
80,135,0.1,0.05,0.2,-0.015620295
80,140,0.1,0.05,0.2,-0.027361933
80,145,0.1,0.05,0.2,-0.05082232
80,150,0.1,0.05,0.2,-0.07458979
85,50,0.1,0.05,0.2,34.640244
85,55,0.1,0.05,0.2,29.743586
85,60,0.1,0.05,0.2,24.866127
85,65,0.1,0.05,0.2,20.04424
85,70,0.1,0.05,0.2,15.173877
85,75,0.1,0.05,0.2,10.247366
85,80,0.1,0.05,0.2,5.6092043
85,85,0.1,0.05,0.2,2.2924242
85,90,0.1,0.05,0.2,0.701024
85,95,0.1,0.05,0.2,0.084671915
85,100,0.1,0.05,0.2,-0.0047484073
85,105,0.1,0.05,0.2,-0.033232752
85,110,0.1,0.05,0.2,-0.05506808
85,115,0.1,0.05,0.2,-0.06756312
85,120,0.1,0.05,0.2,-0.0714789
85,125,0.1,0.05,0.2,-0.038926188
85,130,0.1,0.05,0.2,-0.015954081
85,135,0.1,0.05,0.2,-0.0058108005
85,140,0.1,0.05,0.2,-0.0016909274
85,145,0.1,0.05,0.2,-0.018698756
85,150,0.1,0.05,0.2,-0.045886103
